Thời gian,Link Report,Hạng mục,Hành vi,Link liên quan,Ghi chú,Account
2025-11-30 14:04:30,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Success,100027144591521
2025-11-30 14:12:00,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không click được nút Báo cáo sau khi mở menu,100027144591521
2025-11-30 14:13:00,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không click được nút Báo cáo sau khi mở menu,100027144591521
2025-11-30 14:16:24,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không click được nút Báo cáo sau khi mở menu,100027144591521
2025-11-30 14:18:50,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không click được nút Báo cáo sau khi mở menu,100027144591521
2025-11-30 14:24:46,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Success,100027144591521
2025-11-30 14:32:04,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không click được nút Báo cáo sau khi mở menu,100027144591521
2025-11-30 14:36:25,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 14:41:37,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 14:43:45,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 14:50:41,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 14:55:14,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 14:55:19,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 15:01:29,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 15:07:51,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 15:11:18,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Failed: Không tìm thấy hạng mục 'Vấn đề liên quan đến người dưới 18 tuổi',100027144591521
2025-11-30 15:16:01,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Success,100027144591521
2025-11-30 15:18:41,https://www.facebook.com/nhakhoapw,"Bắt nạt, quấy rối hoặc lăng mạ/lạm dụng/ngược đãi",Có vẻ giống hành vi buôn người,,Success,100027144591521
2025-11-30 15:31:40,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Success,100027144591521
2025-11-30 15:49:12,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Success,100027144591521
2025-11-30 15:50:11,https://www.facebook.com/nhakhoapw,Vấn đề liên quan đến người dưới 18 tuổi,Đe dọa chia sẻ hình ảnh khỏa thân của tôi,,Success,100027144591521
2025-11-30 15:53:13,https://www.facebook.com/nhakhoapw,Trang giả,Một người bạn,,Success,100027144591521
